WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000279 13.4692 12.0645 12.5342 15.7393 19.037 26.8202 40.0289
XLOC_000280 5.66615 6.18806 5.60512 4.33438 3.0179 1.39024 1.44864
XLOC_000281 0.317143 0.389219 0.468044 0.559837 0.933108 0.369723 0.785318
XLOC_000282 9.55811 10.8864 9.77214 7.50027 7.79674 15.8787 54.052
XLOC_000283 4.18946 3.50732 1.12739 0.849919 0.876329 0.669935 0
XLOC_000284 52.1095 52.1354 46.245 33.7483 28.3153 18.5545 19.5122
XLOC_000285 13.631 12.0877 14.1966 15.5134 18.0218 20.3268 24.7789
XLOC_000286 11.0978 8.82423 6.51821 2.17428 0.938119 0.045257 0.0794268
XLOC_000287 2.9779 2.31012 1.58458 1.58844 1.38399 2.93931 6.14564
XLOC_000288 5.18197 6.69022 9.02209 9.93234 9.01771 5.33126 2.63837
XLOC_000289 0 0 0 0 0 0 0
XLOC_000290 23.7164 18.0345 19.0982 18.5414 17.08 19.7151 18.5108
XLOC_000291 14.4561 15.9287 11.5958 8.27237 7.53984 6.18544 6.40684
XLOC_000292 42.7899 33.2307 20.3295 22.4954 27.3 46.3707 51.7634
XLOC_000293 4.31096 3.29493 1.60901 1.95949 2.08449 1.48397 2.47478
XLOC_000294 0 0 0 0 0 0 0
XLOC_000295 0 0 0 0 0 0.185436 0.0649943
XLOC_000296 8.99195 10.2292 14.8663 15.3417 16.2765 17.5056 24.667
XLOC_000297 0.539609 0.67117 5.56988 13.1514 10.5085 2.35946 0.835001
XLOC_000298 1.65269 2.48254 6.59273 11.0662 18.2618 33.0427 31.94
XLOC_000299 696.706 1091.69 473.733 115.626 41.913 10.1566 9.53179
XLOC_000300 7.87466 6.58242 3.22758 3.66925 3.56176 3.2546 2.34948
XLOC_000301 4.02267 4.08938 4.11113 4.22138 3.40184 2.12752 1.18057
XLOC_000302 3.30589 4.62756 6.56484 5.83357 5.34216 3.59815 2.29904
XLOC_000303 20.6277 17.6782 11.1367 11.9238 10.3279 7.94236 5.30416
XLOC_000304 0 0 0 0 0 0 0
XLOC_000305 4.19773 4.3864 5.74284 4.30643 1.94759 0.136537 0.014048
XLOC_000306 6.65003 5.3605 3.39655 2.85541 2.07826 2.65336 1.93744
XLOC_000307 3.75056 4.38562 4.00426 4.33328 4.39145 3.88347 4.06169
XLOC_000308 0 0 0 0 0 0 0.0823668
XLOC_000309 0.154405 0.0760875 0.0418784 0 0 0 0
XLOC_000310 25.9348 24.2382 23.8692 19.2484 16.4197 12.189 10.9754
XLOC_000311 0.0248686 0.0070561 0.00903563 0.0138852 0.0178767 0.011454 0.0334292
XLOC_000312 0.108409 0.0533924 0.00834879 0.0116295 0.0225919 0 0
XLOC_000313 9.72701 13.3953 30.524 39.8819 35.2616 8.2847 0.999705
XLOC_000314 0 0 0 0 0 0 0
XLOC_000315 83.8103 47.2946 22.4674 17.1431 14.2922 9.05298 3.58204
XLOC_000316 42.3863 51.0667 54.4028 45.241 61.8345 180.891 340.366
XLOC_000317 0 0 0 0 0 0 0
XLOC_000318 2.88032 2.60183 2.00422 3.76178 3.04423 6.46278 9.19378
XLOC_000319 33.8539 24.0673 16.1494 18.688 17.3962 23.5788 29.715
XLOC_000320 0 0.374045 0.102083 0.493344 0.221675 0.255066 0
XLOC_000321 0.520263 1.54443 1.74471 1.21819 0.922303 5.43862 21.8975
XLOC_000322 0 0 0 0 0 0 0
XLOC_000323 59.84 41.7216 18.8613 18.1562 18.4565 21.1164 19.3849
XLOC_000324 0.383273 0.254863 0.450203 0.874859 1.68535 5.02731 4.34848
XLOC_000325 5.82925 7.08552 1.63066 0.921063 0.791551 3.48954 9.77223
XLOC_000326 0.324838 1.35972 8.43137 8.64502 5.5797 0.42055 0.267102
XLOC_000327 177.837 170.73 26.2944 10.7552 7.48177 5.09846 8.58813
XLOC_000328 0.0256642 0.0297047 0.00949262 0 0 0 0.00792679
XLOC_000329 0 0 0 0 0 0 0
XLOC_000330 100.012 64.518 4.17684 0.455121 0.215674 0.111394 0.11078
XLOC_000331 4.64185 4.65199 9.26602 11.0704 9.93815 86.4475 112.21
XLOC_000332 1.15515 1.45886 4.27245 6.84486 8.16749 6.92326 2.59527
XLOC_000333 29.1392 37.8073 68.9764 101.955 139.866 148.368 82.5379
XLOC_000334 0 0 0 0 0 0 0
XLOC_000335 10.5223 9.93561 6.91994 5.48303 8.15442 14.812 17.7082
XLOC_000336 0.0333485 0 0 0.0423845 0 0.0371365 0
XLOC_000337 0.0187748 0.237631 0.0687244 0.220344 0.0470206 0 0
XLOC_000338 8.9251 9.05278 11.0784 21.2029 28.929 93.5124 142.545
XLOC_000339 0.0031477 0 0 0 0 0 0
XLOC_000340 0 0 0 0 0 0 0
XLOC_000341 0.0309173 0.0868677 0.0380603 0.657231 0.23278 0.144785 0.104716
XLOC_000342 2.72456 4.36743 4.53547 5.87829 10.0969 5.99216 1.52514
XLOC_000343 79.7655 71.7843 47.007 50.7315 42.5703 54.4973 43.641
XLOC_000344 0.0136607 0 0 0 0 0 0
XLOC_000345 0.183247 0 0 0 0 0 0
XLOC_000346 15.1468 17.5646 25.3837 29.5779 25.6307 19.991 12.3409
XLOC_000347 13.9363 12.8199 9.18503 7.68307 8.44857 7.95434 6.81569
XLOC_000348 4.45209 5.49714 7.11888 7.83812 8.27967 9.71139 10.0389
XLOC_000349 0 0 0 0 0 0 0
XLOC_000350 315.942 210.437 42.0484 26.633 20.8443 25.3978 17.4836
XLOC_000351 0.182281 0.058502 0.0707494 0.0252343 0 0 0
