WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_001311 9.37519 10.5054 2.06305 0.196065 0.14786 0.498741 4.06556
XLOC_005455 52.0067 59.0966 63.1669 55.1995 44.2529 19.8976 11.2177
XLOC_005459 0.195346 0.0915392 0.0347413 0.0185025 0.0334921 0 0
XLOC_005460 0.0752114 0.111933 0.679741 3.32705 1.86033 0.0980579 0
XLOC_005462 5.48468 7.65993 2.90241 0.405565 0.0653083 0.0421798 0
XLOC_001324 39.5055 37.7058 33.7139 27.1841 23.8411 18.7866 12.8521
XLOC_005467 35.8007 45.2192 108.583 158.482 151.568 141.204 17.5875
XLOC_005468 5.3174 5.15089 5.5989 6.69313 6.8461 8.92206 7.88356
XLOC_005469 0.0955283 0.181592 0.151327 0.0898594 0.0306029 0.0149111 0.0132292
XLOC_005470 4.52739 6.54478 17.377 18.5109 12.0504 2.65273 1.10057
XLOC_001334 12.6332 16.0176 22.0084 18.8572 14.606 7.28706 3.8887
XLOC_001347 8.68506 17.159 45.9782 17.0739 3.0197 0.147725 0
XLOC_001355 12.7638 8.37199 5.28378 8.71753 14.0392 28.5281 46.6626
XLOC_001357 15.3795 15.7946 22.9594 27.4469 31.12 40.5958 45.0343
XLOC_001360 0.0476654 0.0389251 0.104135 0.389767 0.611843 0.53361 0.232892
XLOC_001363 22.6896 23.5017 7.7598 35.2279 50.489 2.59857 0.0715426
XLOC_005529 5.85626 6.77568 2.62738 3.68716 2.92637 0.285163 0.462842
XLOC_001393 10.1866 17.3734 27.1056 22.7714 15.1667 3.10026 0.383719
XLOC_001396 0 0 0.169211 0.853814 0.421975 0 0.128547
XLOC_001408 1.03389 0.949917 0.608901 0.850985 1.22854 4.74994 24.26
XLOC_001409 8.80536 10.2338 22.5485 40.0111 85.2522 256.499 324.516
XLOC_005536 177.022 260.422 1317.68 1481.48 1283.03 448.962 99.7889
XLOC_001417 13.1912 13.5772 19.676 19.9468 15.4944 5.623 1.9969
XLOC_005544 4.39414 18.9227 128.846 299.64 477.824 1120.01 858.811
XLOC_001423 0.0439508 0.110401 0.0410759 0.184407 0.147536 0.0332474 0
